kigo,pronunciation,season
石菖蒲,いしあやめ,夏
石鯛,いしだい,夏
石採神事,いしとりしんじ,夏
石取祭,いしとりまつり,夏
石採祭,いしとりまつり,夏
石の竹,いしのたけ,夏
石伏魚,いしぶし,夏
石斑魚,いしぶし,夏
石枕,いしまくら,夏
石首魚,いしもち,夏
医者いらず,いしゃいらず,夏
石山蛍,いしやまぼたる,夏
萎蕤,いずい,夏
泉,いずみ,夏
泉川,いずみかわ,夏
泉殿,いずみどの,夏
泉屋,いずみのや,夏
出雲大祭礼,いずもだいさいれい,夏
出雲祭,いずもまつり,夏
伊勢神御衣祭,いせかんみそのまつり,夏
伊勢の御田植,いせのおたうえ,夏
伊勢の御祭,いせのごさい,夏
伊勢の祭礼,いせのさいれい,夏
伊勢三河祭,いせのみかわまつり,夏
伊勢の例祭,いせのれいさい,夏
磯蟹,いそがに,夏
磯清水,いそしみず,夏
磯涼み,いそすずみ,夏
磯鵯,いそひよどり,夏
藺田,いだ,夏
棘高鰺,いだかあじ,夏
いたこ市,いたこいち,夏
板簾,いたすだれ,夏
井立て,いだて,夏
虎杖競,いたどりくらべ,夏
虎杖の花,いたどりのはな,夏
虎杖祭,いたどりまつり,夏
石櫧の花,いちいがしのはな,夏
一夏,いちげ,夏
一夏九旬,いちげくじゅん,夏
苺,いちご,夏
覆盆子,いちご,夏
苺ソーダ,いちごそーだ,夏
苺摘,いちごつみ,夏
苺摘み,いちごつみ,夏
苺畑,いちごばたけ,夏
苺ミルク,いちごみるく,夏
一八,いちはつ,夏
鳶尾草,いちはつ,夏
一番藍,いちばんあい,夏
一番草,いちばんぐさ,夏
莔麻,いちび,夏
櫟子,いちび,夏
白麻刈,いちびかり,夏
市女笠,いちめがさ,夏
一薬草,いちやくそう,夏
一夜鮓,いちやずし,夏
五日の節会,いつかのせちえ,夏
一休納豆,いっきゅうなっとう,夏
厳島管絃祭,いつくしまかんげんさい,夏
厳島祭,いつくしままつり,夏
井戸替,いどがえ,夏
井戸浚,いどさらえ・いどさらい,夏
糸蓼,いとたで,夏
糸取,いととり,夏
糸取車,いととりぐるま,夏
糸取鍋,いととりなべ,夏
糸取女,いととりめ,夏
糸蜻蛉,いととんぼ,夏
糸蓮,いとはす,夏
糸引,いとひき,夏
糸引歌,いとひきうた,夏
糸引女,いとひきめ,夏
糸蚯蚓,いとみみず,夏
糸蘭,いとらん,夏
稲荷鮓,いなりずし,夏
犬追物,いぬおうもの,夏
犬養忌,いぬかいき,夏
犬搔き,いぬかき,夏
犬牛蒡,いぬごぼう,夏
犬莧,いぬひゆ,夏
犬枇杷,いぬびわ,夏
犬娵菜,いぬよめな,夏
稲取,いねとり,夏
稲虫送,いねむしおくり・いなむしおくり,夏
藺の花,いのはな,夏
茨,いばら,夏
茨の花,いばらのはな,夏
茨蕗,いばらぶき,夏
衣服納,いふくおさめ,夏
疣水母,いぼくらげ,夏
藺干す,いほす,夏
水蠟虫,いぼた,夏
疣鯛,いぼだい,夏
水臘樹の花,いぼたのはな,夏
今宮祭,いまみやまつり,夏
今宮祭御出,いまみやまつりおいで,夏
忌さす,いみさす,夏
井水増す,いみずます,夏
忌日の御飯,いみびのごはん,夏
莞,いむしろ,夏
藷挿す,いもさす,夏
甘藷焼酎,いもじょうちゅう,夏
芋の花,いものはな,夏
井守,いもり,夏
蠑螈,いもり,夏
井守の印,いもりのしるし,夏
井守を搗く,いもりをつく,夏
伊予簾,いよすだれ,夏
刺蛾,いらが,夏
入谷朝顔市,いりやあさがおいち,夏
岩鏡,いわかがみ,夏
岩蔓,いわかつら,夏
岩蟹,いわがに,夏
岩桔梗,いわぎきょう,夏
岩桐草,いわぎりそう,夏
巌薬,いわぐすり,夏
巌茱萸,いわぐみ,夏
巌苔,いわごけ,夏
巌滴り,いわしたたり,夏
岩清水,いわしみず,夏
岩蓼,いわたで,夏
岩煙草,いわたばこ,夏
巌千鳥,いわちどり,夏
岩燕,いわつばめ,夏
巌木賊,いわとくさ,夏
岩魚,いわな,夏
巌魚,いわな,夏
岩魚狩,いわながり,夏
岩梨,いわなし,夏
岩魚釣,いわなつり,夏
巌檜葉,いわひば,夏
岩鷚,いわひばり,夏
岩蕗,いわぶき,夏
巌藤,いわふじ,夏
巌松,いわまつ,夏
石見太郎,いわみたろう,夏
陰月,いんげつ,夏
隠元忌,いんげんき,夏
隠元豆の花,いんげんまめのはな,夏
印地打,いんじうち,夏
印地切,いんじきり,夏
インド藍,いんどあい,夏
忌火の御飯,いんびのごはん,夏
忌日の御飯を供ず,いんびのごはんをくうず,夏
茆,う,夏
鵜,う,夏
雨安居,うあんご,夏
茴香子,ういきょうし,夏
茴香の花,ういきょうのはな,夏
浮いて来い,ういてこい,夏
ウェストン祭,うぇすとんさい,夏
植田,うえた,夏
植女,うえめ,夏
鵜飼,うかい,夏
鵜飼火,うかいび,夏
鵜飼船,うかいぶね,夏
鵜篝,うかがり,夏
鵜籠,うかご,夏
鵜川,うかわ,夏
浮板,うきいた,夏
浮草,うきくさ,夏
萍,うきくさ,夏
水萍,うきくさ,夏
萍の花,うきくさのはな,夏
萍草の花,うきくさのはな,夏
浮巣,うきす,夏
うきた合せ,うきたあわせ,夏
浮人形,うきにんぎょう,夏
浮葉,うきは,夏
浮袋,うきぶくろ,夏
浮身,うきみ,夏
雨久花,うきゅうか,夏
鶯老を啼く,うぐいすおいをなく,夏
鶯神楽の実,うぐいすかぐらのみ,夏
鶯鳴きやむ,うぐいすなきやむ,夏
鶯音を入る,うぐいすねをいる,夏
鶯の押親,うぐいすのおしおや,夏
鶯の落し文,うぐいすのおとしぶみ,夏
鶯の木の実,うぐいすのきのみ,夏
鶯の附子,うぐいすのつけこ,夏
右近の荒手番,うこんのあらてつがい,夏
右近の橘,うこんのたちばな,夏
右近の真手番,うこんのまてつがい,夏
鵜坂の杖,うさかのつえ,夏
鵜坂祭,うさかまつり,夏
兎菊,うさぎぎく,夏
蛆,うじ,夏
牛洗う,うしあらう,夏
牛合せ,うしあわせ,夏
牛供養,うしくよう,夏
牛角力,うしずもう,夏
牛蝨,うしだに,夏
牛の祇園,うしのぎおん,夏
牛の舌,うしのした,夏
牛の角突き,うしのつのつき,夏
牛蠅,うしばえ,夏
牛冷す,うしひやす,夏
宇治蛍,うじぼたる,夏
宇治祭,うじまつり,夏
宇治丸鮓,うじまるずし,夏
蛆虫,うじむし,夏
丑湯,うしゆ,夏
雲州橘,うじゅきつ,夏
鵜匠,うしょう,夏
薄蚊,うすか,夏
薄衣,うすぎぬ,夏
薄ごろも,うすごろも,夏
臼の実,うすのみ,夏
鸚実,うすのみ,夏
薄羽織,うすばおり,夏
薄翅蜉蝣,うすばかげろう,夏
渦虫,うずむし,夏
羅,うすもの,夏
薄雪草,うすゆきそう,夏
鶉の巣,うずらのす,夏
鵜松明,うたいまつ,夏
内雀,うちすずめ,夏
内早乙女,うちそうとめ,夏
内幟,うちのぼり,夏
打水,うちみず,夏
羽蝶蘭,うちょうらん,夏
うてふ蘭,うちょうらん,夏
団,うちわ,夏
団扇,うちわ,夏
団扇売,うちわうり,夏
団扇掛,うちわかけ,夏
団扇撒,うちわまき,夏
鵜遣,うつかい,夏
鵜遣,うづかい,夏
十姉妹,うつぎ,夏
卯月,うづき,夏
四月,うづき,夏
卯月曇,うづきぐもり,夏
卯月鳥,うづきどり,夏
卯月波,うづきなみ,夏
卯月浪,うづきなみ,夏
卯月野,うづきの,夏
空木の花,うつぎのはな,夏
卯月八日,うづきようか,夏
卯月八日,うづきようか,夏
空蟬,うつせみ,夏
空穂草,うつぼぐさ,夏
靱草,うつぼぐさ,夏
夏枯草,うつぼぐさ・かこそう,夏
蔚林,うつりん,夏
独活の花,うどのはな,夏
優曇華,うどんげ,夏
童子鳥,うないごとり,夏
鰻,うなぎ,夏
鰻搔,うなぎかき,夏
鰻筒,うなぎづつ,夏
鰻釣,うなぎつり,夏
鰻の日,うなぎのひ,夏
卯浪,うなみ,夏
鵜縄,うなわ,夏
雲丹,うに,夏
鵜の鳥,うのとり,夏
卯の花,うのはな,夏
卯の花垣,うのはながき,夏
卯の花襲,うのはながさね,夏
卯の花降し,うのはなくだし,夏
卯の花くたし,うのはなくたし・うのはなくだし,夏
卯の花腐し,うのはなくだし・うのはなくたし,夏
卯の花曇,うのはなぐもり,夏
卯の花衣,うのはなごろも,夏
卯の花月,うのはなづき,夏
卯の花月夜,うのはなづきよ,夏
卯の葉の神事,うのはのしんじ,夏
鵜の群れ,うのむれ,夏
姥玉虫,うばたまむし,夏
鵜舟,うぶね,夏
鵜船,うぶね,夏
馬洗う,うまあらう,夏
馬篠,うますず,夏
馬の塔,うまのとう,夏
馬蠅,うまばえ,夏
馬冷す,うまひやす,夏
馬莞,うまひゆ,夏
馬蛭,うまびる,夏
馬弓,うまゆみ,夏
騎射,うまゆみ・きしゃ,夏
馬渡し,うまわたし,夏
海水馬,うみあめんぼ,夏
海鵜,うみう,夏
海蟹,うみがに,夏
海亀,うみがめ,夏
海鱚,うみぎす,夏
海蛸子,うみだこ,夏
