kigo,pronunciation,season
掛衾,かけぶすま,冬
掛蒲団,かけぶとん,冬
下元,かげん,冬
下元の節,かげんのせつ,冬
囲大根,かこいだいこ,冬
風切鎌,かざきりがま・かぜきりがま,冬
鵲巣をくいそむる,かささぎすをくいそむる,冬
鵲巣をくひそむる,かささぎすをくいそむる,冬
鵲巣をくう,かささぎすをくう,冬
鵲巣をくふ,かささぎすをくう,冬
鵲初めて巣くう,かささぎはじめてすくう,冬
鵲初めて巣くふ,かささぎはじめてすくう,冬
重ね着,かさねぎ,冬
風花,かざはな,冬
風除,かざよけ,冬
飾売,かざりうり,冬
飾炭,かざりずみ,冬
飾松売,かざりまつうり,冬
飾藁売,かざりわらうり,冬
火事,かじ,冬
火事跡,かじあと,冬
悴む,かじかむ,冬
旗魚,かじき,冬
かじき釣り,かじきつり,冬
旗魚鮪,かじきまぐろ,冬
かじけ鳥,かじけどり,冬
かじけ猫,かじけねこ,冬
悴ける,かじける,冬
火事装束,かじしょうぞく,冬
火事頭巾,かじずきん,冬
橿鳥を食ふ,かしどりをくう,冬
火事羽織,かじばおり,冬
鍛冶祭,かじまつり,冬
火事見舞,かじみまい,冬
賀状書く,がじょうかく,冬
頭の芋,かしらのいも・とうのいも,冬
柏の枯葉,かしわのかれは,冬
春日の万灯,かすがのまんとう,冬
春日祭,かすがまつり,冬
春日万灯籠,かすがまんとうろう,冬
春日若宮御祭,かすがわかみやおんまつり,冬
被衣初,かずきぞめ,冬
被綿,かずきわた,冬
被綿,かずけわた,冬
粕汁,かすじる,冬
瓦斯ストーブ,がすすとーぶ,冬
糟湯酒,かすゆざけ,冬
風邪,かぜ,冬
華臍魚,かせいぎょ,冬
風凍つる,かぜいつる,冬
風垣,かぜがき・かざがき,冬
風囲,かぜかこい・かざがこい,冬
風邪薬,かぜぐすり,冬
風邪気,かぜけ・かざけ,冬
風邪声,かぜごえ・かざごえ,冬
風邪心地,かぜごこち,冬
風冴ゆる,かぜさゆる,冬
風邪の神,かぜのかみ,冬
化繊綿,かせんわた,冬
数え日,かぞえび,冬
肩当蒲団,かたあてぶとん,冬
肩掛,かたかけ,冬
片時雨,かたしぐれ,冬
堅炭,かたずみ,冬
かたびら雪,かたびらゆき,冬
肩蒲団,かたぶとん,冬
鰹菜,かつおな,冬
渇水期,かっすいき,冬
下冬,かとう,冬
火榻,かとう,冬
門松おろし,かどまつおろし,冬
門松立つ,かどまつたつ,冬
門松の営,かどまつのいとなみ,冬
金頭,かながしら,冬
方頭魚,かながしら,冬
かにかく忌,かにかく忌,冬
蟹工船,かにこうせん,冬
加年払,かにばらい,冬
鐘凍つる,かねいつる,冬
金樏,かねかんじき,冬
鐘冰る,かねこおる,冬
鐘冴ゆる,かねさゆる,冬
黴餅,かびもち,冬
蕪,かぶ,冬
歌舞伎正月,かぶきしょうがつ,冬
歌舞伎顔見世,かぶきのかおみせ,冬
冑蝶,かぶとちょう,冬
かぶ菜,かぶな,冬
蕪菁,かぶら,冬
蕪汁,かぶらじる,冬
蕪鮓,かぶらずし,冬
蕪引,かぶらひき,冬
かぶら引く,かぶらひく,冬
蕪菁引く,かぶらひく,冬
かぶら干す,かぶらほす,冬
蕪干す,かぶらほす,冬
蕪菁干す,かぶらほす,冬
蕪蒸,かぶらむし,冬
嘉平,かへい,冬
釜揚,かまあげ,冬
釜揚饂飩,かまあげうどん,冬
鎌鼬,かまいたち,冬
鎌風,かまかぜ,冬
竈注連,かましめ,冬
叺織,かますおり,冬
叺織る,かますおる,冬
竈猫,かまどねこ,冬
竈の神の昇天,かまのかみのしょうてん,冬
竈の神祭,かまのかみまつり,冬
竈祓,かまばらい,冬
竈祭,かままつり,冬
神遊,かみあそび,冬
神集,かみあつめ,冬
神在,かみあり,冬
神在月,かみありづき,冬
神有月,かみありづき,冬
神在祭,かみありまつり,冬
髪置,かみおき,冬
神送,かみおくり,冬
神送り,かみおくり,冬
神送風,かみおくりかぜ,冬
神還,かみかえり,冬
神還り,かみかえり,冬
紙ぎぬ,かみぎぬ,冬
紙子,かみこ,冬
紙衣,かみこ,冬
紙子売,かみこうり,冬
神去り月,かみさりづき,冬
神去月,かみさりづき,冬
紙漉,かみすき,冬
紙漉女,かみすきめ,冬
神立,かみたち,冬
神立風,かみたつかぜ,冬
神つどひ,かみつどい,冬
神集い,かみつどい,冬
神の熊,かみのくま,冬
神の旅,かみのたび,冬
神の旅立,かみのたびだち,冬
神の留守,かみのるす,冬
紙衾,かみぶすま,冬
紙干場,かみほしば,冬
紙干す,かみほす,冬
神迎,かみむかえ,冬
神迎え,かみむかえ,冬
神渡,かみわたし,冬
神渡し,かみわたし,冬
冠雪,かむりゆき,冬
亀の子半纏,かめのこばんてん,冬
鴨,かも,冬
鴨池,かもいけ,冬
鴨打,かもうち,冬
羚羊,かもしか,冬
氈鹿,かもしか,冬
鴨汁,かもじる,冬
鴨雑炊,かもぞうすい,冬
鴨鷹,かもだか,冬
鴨の浮寝,かものうきね,冬
賀茂還立,かものかえりだち,冬
鴨の共立,かものともだち,冬
鴨舟,かもぶね,冬
鴨道,かもみち,冬
賀茂臨時祭,かもりんじさい,冬
賀茂臨時試楽,かもりんじのしがく,冬
榧搗栗売,かやかちぐりうり,冬
榧の花,かやのはな,冬
粥施行,かゆせぎょう,冬
粥やらう,かゆやろう,冬
粥やろう,かゆやろう,冬
唐梅,からうめ,冬
空風,からかぜ,冬
唐紙,からかみ,冬
唐紙障子,からかみしょうじ,冬
乾鮭,からざけ,冬
加羅佐手,からさで,冬
神等去出の神事,からさでのしんじ,冬
からさで祭,からさでまつり,冬
空っ風,からっかぜ,冬
からつ風,からっかぜ,冬
落葉松散る,からまつちる,冬
辛味大根,からみだいこん,冬
狩,かり,冬
刈上餅,かりあげもち,冬
雁北に嚮ふ,かりきたにむかう,冬
狩杖,かりづえ,冬
狩の使,かりのつかい,冬
狩の宿,かりのやど,冬
狩場,かりば,冬
狩人,かりゅうど,冬
猟人,かりゅうど・りょうじん,冬
枯るる,かるる,冬
枯薊,かれあざみ,冬
枯葦,かれあし,冬
枯蘆,かれあし,冬
枯蘆原,かれあしわら,冬
涸池,かれいけ,冬
枯茨,かれいばら,冬
枯枝,かれえだ,冬
枯尾花,かれおばな,冬
枯柏,かれかしわ,冬
枯かずら,かれかずら,冬
枯葛,かれかずら,冬
枯萱,かれかや,冬
涸川,かれがわ,冬
枯木,かれき・こぼく,冬
枯木卸,かれきおろし,冬
枯木卸し,かれきおろし,冬
枯菊,かれぎく,冬
枯木星,かれきぼし,冬
枯木道,かれきみち,冬
枯木宿,かれきやど,冬
枯草,かれくさ,冬
枯桑,かれくわ,冬
枯鶏頭,かれけいとう,冬
枯木立,かれこだち,冬
枯桜,かれざくら,冬
枯歯朶,かれしだ,冬
枯忍,かれしのぶ,冬
枯芝,かれしば,冬
枯芒,かれすすき,冬
枯薄,かれすすき,冬
枯園,かれその,冬
涸滝,かれだき,冬
枯れたつ柳,かれたつやなぎ,冬
枯蔦,かれつた,冬
枯蔓,かれつる,冬
枯蟷螂,かれとうろう,冬
枯庭,かれにわ,冬
涸沼,かれぬま,冬
枯荵,かれねぎ,冬
枯野,かれの,冬
枯残る菊,かれのこるきく,冬
枯野原,かれのはら,冬
枯野人,かれのびと,冬
枯野道,かれのみち,冬
枯野宿,かれのやど,冬
枯葉,かれは,冬
枯萩,かれはぎ,冬
枯芭蕉,かればしょう,冬
枯蓮,かれはす,冬
枯はちす,かれはちす,冬
枯原,かれはら,冬
枯芙蓉,かれふよう,冬
枯真菰,かれまこも,冬
枯葎,かれむぐら,冬
枯柳,かれやなぎ,冬
枯山,かれやま,冬
枯山吹,かれやまぶき,冬
枯葭,かれよし,冬
枯龍胆,かれりんどう,冬
河秋沙,かわあいさ,冬
川涸る,かわかる,冬
川涸るる,かわかるる,冬
皮衣,かわぎぬ・かわごろも,冬
川凍る,かわこおる,冬
裘,かわごろも,冬
革ジャンパー,かわじゃんぱー,冬
革足袋,かわたび,冬
川千鳥,かわちどり,冬
革手袋,かわてぶくろ,冬
川音の時雨,かわねのしぐれ・かわとのしぐれ,冬
革羽織,かわばおり,冬
皮羽織,かわばおり,冬
川浸りの朔日,かわびたりのついたち,冬
川浸餅,かわびたりもち,冬
川普請,かわぶしん,冬
川八目,かわやつめ,冬
川渡しの朔日,かわわたしのついたち,冬
寒,かん,冬
寒靄,かんあい,冬
寒葵,かんあおい,冬
寒茜,かんあかね,冬
寒明忌,かんあけき,冬
寒荒,かんあれ,冬
寒威,かんい,冬
寒烏賊,かんいか,冬
寒烏賊釣,かんいかつり,冬
寒苺,かんいちご,冬
寒入り,かんいり,冬
寒土当帰,かんうど,冬
寒独活,かんうど,冬
寒雲,かんうん,冬
寒泳,かんえい,冬
寒影,かんえい,冬
寒園,かんえん,冬
寒猿,かんえん,冬
寒鶯,かんおう,冬
寒泳ぎ,かんおよぎ,冬
寒霞,かんがすみ,冬
寒固,かんがため,冬
寒鴉,かんがらす・かんあ,冬
寒鰈,かんがれい,冬
寒がはり,かんがわり,冬
寒雁,かんがん,冬
寒巌,かんがん,冬
寒気,かんき,冬
雁木,がんぎ,冬
雁木市,がんぎいち,冬
寒菊,かんぎく,冬
寒狐,かんぎつね,冬
柑橘類の実,かんきつるいのみ,冬
寒きびし,かんきびし,冬
寒灸,かんぎゅう・かんきゅう,冬
寒行,かんぎょう,冬
寒暁,かんぎょう,冬
寒行僧,かんぎょうそう,冬
寒禽,かんきん,冬
寒九,かんく,冬
寒苦,かんく,冬
寒喰,かんぐい,冬
寒苦鳥,かんくちょう・かんくどり,冬
寒九の雨,かんくのあめ,冬
寒九の水,かんくのみず,冬
寒稽古,かんげいこ,冬
寒月,かんげつ,冬
寒犬,かんけん,冬
寒鯉,かんごい,冬
寒鯉釣,かんごいつり,冬
寒江,かんこう,冬
寒耕,かんこう,冬
寒紅梅,かんこうばい,冬
寒声,かんごえ,冬
寒肥,かんごえ・かんごやし・かんぴ,冬
寒声つかふ,かんごえつかう,冬
寒垢離,かんごり,冬
寒桜,かんざくら,冬
燗酒,かんざけ,冬
寒さびし,かんさびし,冬
寒復習,かんざらい,冬
寒ざらえ,かんざらえ,冬
寒ざらへ,かんざらえ,冬
寒晒,かんざらし,冬
寒曝,かんざらし,冬
寒晒粉,かんざらしこ,冬
関山忌,かんざんき,冬
樏,かんじき,冬
寒蜆,かんしじみ,冬
寒忍,かんしのぶ,冬
感謝祭,かんしゃさい,冬
甘蔗刈,かんしょかり・きびかり,冬
甘蔗根掘る,かんしょねほる,冬
甘蔗の花,かんしょのはな,冬
寒四郎,かんしろう,冬
寒翠,かんすい,冬
寒漉,かんすき,冬
寒菅,かんすげ,冬
寒芒,かんすすき,冬
寒薄,かんすすき,冬
寒雀,かんすずめ,冬
寒昴,かんすばる,冬
寒菫,かんすみれ,冬
寒角力,かんずもう,冬
寒相撲,かんずもう,冬
寒星,かんせい・かんぼし,冬
寒施行,かんせぎょう,冬
寒芹,かんぜり,冬
寒泉,かんせん,冬
寒蘚,かんせん,冬
寒草,かんそう,冬
寒薔薇,かんそうび,冬
寒鯛,かんだい,冬
寒鷹,かんだか,冬
寒炊糊,かんたきのり,冬
寒柝,かんたく,冬
寒茸,かんたけ,冬
寒筍,かんたけのこ,冬
寒立,かんだち,冬
寒玉子,かんたまご,冬
寒卵,かんたまご,冬
寒竹の子,かんちくのこ,冬
寒中,かんちゅう,冬
寒厨,かんちゅう・かんくりや,冬
寒中水泳,かんちゅうすいえい,冬
寒中見舞,かんちゅうみまい,冬
寒潮,かんちょう,冬
寒搗,かんつき,冬
寒造,かんづくり,冬
寒造酒,かんづくりざけ,冬
寒椿,かんつばき,冬
寒釣,かんづり,冬
寒笛,かんてき,冬
寒天,かんてん,冬
寒天製す,かんてんせいす,冬
寒天造る,かんてんつくる,冬
寒天干す,かんてんほす,冬
寒天晒す,かんてんらさす,冬
寒灯,かんとう,冬
寒濤,かんとう,冬
関東だき,かんとうだき,冬
関東煮,かんとうだき,冬
寒豆腐,かんどうふ,冬
寒土用,かんどよう,冬
寒取,かんどり,冬
寒凪,かんなぎ,冬
神無月,かんなづき,冬
寒波,かんなみ,冬
寒習,かんならい,冬
寒馴れ,かんなれ,冬
寒に入る,かんにいる,冬
