kigo,pronunciation,season
歌留多会,かるたかい,新年
骨牌凧,かるただこ,新年
歌留多取,かるたとり,新年
歌留多箱,かるたばこ,新年
蛙狩の神事,かわずがりのしんじ,新年
蛙飛びの神事,かわずとびのしんじ,新年
かわらけ草,かわらけそう,新年
土器拾い,かわらけひろい,新年
土器拾ひ,かわらけひろい,新年
羹,かん,新年
官位双六,かんいすごろく,新年
元月,がんげつ,新年
管絃講,かんげんこう,新年
元三,がんさん,新年
元三会,がんざんえ,新年
元三忌,がんざんき,新年
元三大師会,がんざんだいしえ,新年
元三大師忌,がんざんだいしき,新年
元三大師の像を門戸に貼る,がんさんだいしのぞうをもんこにはる,新年
元七,がんしち,新年
元日,がんじつ,新年
元日草,がんじつそう,新年
元日戸を開かず,がんじつとをひらかず,新年
元日節会,がんじつのせちえ,新年
元日立春,がんじつりっしゅん,新年
元旦,がんたん,新年
元朝,がんちょう,新年
鉋始,かんなはじめ,新年
羹箸,かんばし,新年
歓楽,かんらく,新年
羹を祝う,かんをいわう,新年
羹を祝ふ,かんをいわう,新年
祇園削掛の神事,ぎおんけずりかけのしんじ,新年
祇園甲部歌舞練場始業式,ぎおんこうぶかぶれんじょうしぎょうしき,新年
木伐初,ききりぞめ,新年
樵初,きこりぞめ,新年
雉子酒,きじざけ・きじしゅ,新年
鬼子母神祭礼,きしもじんさいれい,新年
鬼射,きしゃ,新年
起舟,きしゅう,新年
規春,きしゅん,新年
喜春楽,きしゅんらく,新年
木責,きぜめ,新年
着衣始,きそはじめ,新年
北野の筆始祭,きたののふではじめさい,新年
吉書,きっしょ,新年
吉書揚,きっしょあげ,新年
吉書奏,きっしょのそう,新年
吉書始め,きっしょはじめ,新年
吉兆,きっちょう,新年
毬打,ぎっちょう・ぎちょう,新年
毬杖,ぎっちょう・ぎちょう,新年
吉兆縄,きっちょうなわ,新年
狐舞,きつねまい,新年
祈禱狐,きとうぎつね,新年
木花,きばな,新年
騎馬始,きばはじめ,新年
祈福祭,きふくさい,新年
亀卜始,きぼくはじめ,新年
木呪,きまじない,新年
君の春,きみのはる,新年
牛日,ぎゅうじつ,新年
旧冬,きゅうとう,新年
旧年,きゅうねん,新年
旧臘,きゅうろう,新年
行事暦,ぎょうじごよみ,新年
鏡台祝,きょうだいいわい,新年
鏡台祝う,きょうだいいわう,新年
今日の春,きょうのはる,新年
京若菜,きょうわかな,新年
御忌,ぎょき,新年
曲独楽,きょくごま,新年
曲搗,きょくつき,新年
御慶,ぎょけい,新年
去歳,きょさい,新年
御題菓子,ぎょだいがし,新年
清滝権現護摩修行,きよたきごんげんごましゅぎょう,新年
清水寺牛王,きよみずでらごおう,新年
清水寺牛王杖,きよみずでらごおうづえ,新年
清水の牛王,きよみずのごおう,新年
切山椒,きりざんしょう,新年
切れ凧,きれだこ,新年
木を囃す,きをはやす,新年
金槐忌,きんかいき,新年
謹月,きんげつ,新年
金海鼠,きんこ,新年
吟行始,ぎんこうはじめ,新年
食継ぎ,くいつぎ,新年
喰積,くいつみ,新年
喰積飾,くいつみかざり,新年
空也堂鉢叩出初,くうやどうはちたたきでぞめ,新年
句会始,くかいはじめ,新年
くぐつ師,くぐつし,新年
串柿飾る,くしがきかざる,新年
狗日,くじつ,新年
串羽子,くしばね,新年
工匠舞,くしょうまい,新年
国栖歌,くずうた,新年
国栖魚,くずのうお,新年
国栖翁,くずのおきな,新年
国栖奏,くずのそう,新年
国栖人,くずびと,新年
国栖笛,くずぶえ,新年
薬子,くすりこ,新年
具足祝,ぐそくいわい,新年
具足鏡開,ぐそくかがみびらき,新年
具足鏡割,ぐそくかがみわり,新年
具足開,ぐそくびらき,新年
具足餅,ぐそくもち,新年
管粥,くだがゆ,新年
管粥祭,くだかゆまつり,新年
国の春,くにのはる,新年
熊野連歌,くまのれんが,新年
熊野連歌始,くまのれんがはじめ,新年
組重,くみじゅう,新年
組蓬萊,くみほうらい,新年
蔵開,くらびらき,新年
鞍馬小判,くらまこばん,新年
鞍馬初寅詣,くらまはつとらまいり,新年
鞍馬詣,くらままいり,新年
来る年,くるとし,新年
暮新月,くれしづき,新年
黒石裸祭,くろいしはだかまつり,新年
黒昆布,くろこんぶ,新年
鍬入,くわいれ,新年
鍬初,くわぞめ,新年
鍬始,くわはじめ,新年
軍配凧,ぐんばいだこ,新年
稽古始,けいこはじめ,新年
鶏日,けいじつ,新年
迎春,げいしゅん,新年
鶏旦,けいたん,新年
契沖忌,けいちゅうき,新年
外記政始,げきのまつりごとはじめ,新年
今朝の春,けさのはる,新年
削掛,けずりかけ,新年
削掛掛ける,けずりかけかける,新年
削掛挿す,けずりかけさす,新年
削掛の行,けずりかけのおこない,新年
削初,けずりぞめ,新年
削花,けずりばな,新年
化粧文,けそうぶみ,新年
懸想文,けそうぶみ,新年
懸想文売,けそうぶみうり,新年
月正,げっせい,新年
蹴鞠始,けまりはじめ,新年
幻吁忌,げんうき,新年
喧嘩祭,けんかまつり,新年
献歳,けんさい,新年
献春,けんしゅん,新年
元宵,げんしょう,新年
元宵祭,げんしょうさい,新年
元宵節,げんしょうせつ,新年
元夕,げんせき,新年
